
-------------------------------
number of philos 5
[144]: 5 is thinking
[144]: 5 is sleeping
[144]: 1 is thinking
[144]: 1 is sleeping
[144]: 4 is thinking
[144]: 4 is sleeping
[144]: 3 is thinking
[144]: 3 is sleeping
[145]: 2 is thinking
[145]: 2 is sleeping
[145]: 5 is thinking
[145]: 5 is sleeping
[145]: 1 is thinking
[145]: 1 is sleeping
[145]: 4 is thinking
[145]: 4 is sleeping
[146]: 3 is thinking
[146]: 3 is sleeping
[146]: 2 is thinking
[146]: 2 is sleeping
[146]: 5 is thinking
[146]: 5 is sleeping
[146]: 1 is thinking
[146]: 1 is sleeping
[147]: 4 is thinking
[147]: 4 is sleeping
[147]: 3 is thinking
[147]: 3 is sleeping
[147]: 2 is thinking
[147]: 2 is sleeping
[147]: 5 is thinking
[147]: 5 is sleeping
[148]: 1 is thinking
[148]: 1 is sleeping
[148]: 4 is thinking
[148]: 4 is sleeping
[148]: 3 is thinking
[148]: 3 is sleeping
[148]: 2 is thinking
[148]: 2 is sleeping
[149]: 5 is thinking
[149]: 5 is sleeping
[149]: 1 is thinking
[149]: 1 is sleeping
[149]: 4 is thinking
[149]: 4 is sleeping
[149]: 3 is thinking
[149]: 3 is sleeping
[150]: 2 is thinking
[150]: 2 is sleeping
[150]: 5 is thinking
[150]: 5 is sleeping
[150]: 1 is thinking
[150]: 1 is sleeping
[150]: 4 is thinking
[150]: 4 is sleeping
[151]: 3 is thinking
[151]: 3 is sleeping
[151]: 2 is thinking
[151]: 2 is sleeping
[151]: 5 is thinking
[151]: 5 is sleeping
[152]: 1 is thinking
[152]: 1 is sleeping
[152]: 4 is thinking
[152]: 4 is sleeping
[152]: 3 is thinking
[152]: 3 is sleeping
[152]: 2 is thinking
[152]: 2 is sleeping
[153]: 5 is thinking
[153]: 5 is sleeping
[153]: 1 is thinking
[153]: 1 is sleeping
[153]: 4 is thinking
[153]: 4 is sleeping
[153]: 3 is thinking
[153]: 3 is sleeping
[154]: 2 is thinking
[154]: 2 is sleeping
[154]: 5 is thinking
[154]: 5 is sleeping
[154]: 1 is thinking
[154]: 1 is sleeping
[154]: 4 is thinking
[154]: 4 is sleeping
[155]: 3 is thinking
[155]: 3 is sleeping
[155]: 2 is thinking
[155]: 2 is sleeping
[155]: 5 is thinking
[155]: 5 is sleeping
[155]: 1 is thinking
[155]: 1 is sleeping
[156]: 4 is thinking
[156]: 4 is sleeping
[156]: 3 is thinking
[156]: 3 is sleeping
[156]: 2 is thinking
[156]: 2 is sleeping
[156]: 5 is thinking
[156]: 5 is sleeping
[157]: 1 is thinking
[157]: 1 is sleeping
[157]: 4 is thinking
[157]: 4 is sleeping
[157]: 3 is thinking
[157]: 3 is sleeping
[157]: 2 is thinking
[157]: 2 is sleeping
[158]: 5 is thinking
[158]: 5 is sleeping
[158]: 1 is thinking
[158]: 1 is sleeping
[158]: 4 is thinking
[158]: 4 is sleeping
[158]: 3 is thinking
[158]: 3 is sleeping
[159]: 2 is thinking
[159]: 2 is sleeping
[159]: 5 is thinking
[159]: 5 is sleeping
[159]: 1 is thinking
[159]: 1 is sleeping
[159]: 4 is thinking
[159]: 4 is sleeping
[160]: 3 is thinking
[160]: 3 is sleeping
[160]: 2 is thinking
[160]: 2 is sleeping
[160]: 5 is thinking
[160]: 5 is sleeping
[160]: 1 is thinking
[161]: 1 is sleeping
[161]: 4 is thinking
[161]: 4 is sleeping
[161]: 3 is thinking
[161]: 3 is sleeping
[161]: 2 is thinking
[161]: 2 is sleeping
[162]: 5 is thinking
[162]: 5 is sleeping
[162]: 1 is thinking
[162]: 1 is sleeping
[162]: 4 is thinking
[162]: 4 is sleeping
[162]: 3 is thinking
[162]: 3 is sleeping
[163]: 2 is thinking
[163]: 2 is sleeping
[163]: 5 is thinking
[163]: 5 is sleeping
[163]: 1 is thinking
[163]: 1 is sleeping
[163]: 4 is thinking
[163]: 4 is sleeping
[164]: 3 is thinking
[164]: 3 is sleeping
[164]: 2 is thinking
[164]: 2 is sleeping
[164]: 5 is thinking
[164]: 5 is sleeping
[164]: 1 is thinking
[164]: 1 is sleeping
[165]: 4 is thinking
[165]: 4 is sleeping
[165]: 3 is thinking
[165]: 3 is sleeping
[165]: 2 is thinking
[165]: 2 is sleeping
[165]: 5 is thinking
[165]: 5 is sleeping
[166]: 1 is thinking
[166]: 1 is sleeping
[166]: 4 is thinking
[166]: 4 is sleeping
[166]: 3 is thinking
[166]: 3 is sleeping
[166]: 2 is thinking
[166]: 2 is sleeping
[167]: 5 is thinking
[167]: 5 is sleeping
[167]: 1 is thinking
[167]: 1 is sleeping
[167]: 4 is thinking
[167]: 4 is sleeping
[167]: 3 is thinking
[167]: 3 is sleeping
[168]: 2 is thinking
[168]: 2 is sleeping
[168]: 5 is thinking
[168]: 5 is sleeping
[168]: 1 is thinking
[168]: 1 is sleeping
[168]: 4 is thinking
[168]: 4 is sleeping
[169]: 3 is thinking
[169]: 3 is sleeping
[169]: 2 is thinking
[169]: 2 is sleeping
[169]: 5 is thinking
[169]: 5 is sleeping
[169]: 1 is thinking
[169]: 1 is sleeping
[170]: 4 is thinking
[170]: 4 is sleeping
[170]: 3 is thinking
[170]: 3 is sleeping
[170]: 2 is thinking
[170]: 2 is sleeping
[170]: 5 is thinking
[170]: 5 is sleeping
[171]: 5 is thinking
[171]: 5 is sleeping
[171]: 4 is thinking
[171]: 4 is sleeping
[171]: 3 is thinking
[171]: 3 is sleeping
[171]: 2 is thinking
[171]: 2 is sleeping
[172]: 1 is thinking
[172]: 1 is sleeping
[172]: 5 is thinking
[172]: 5 is sleeping
[172]: 4 is thinking
[172]: 4 is sleeping
[172]: 3 is thinking
[172]: 3 is sleeping
[173]: 2 is thinking
[173]: 2 is sleeping
[173]: 1 is thinking
[173]: 1 is sleeping
[173]: 5 is thinking
[173]: 5 is sleeping
[174]: 4 is thinking
[174]: 4 is sleeping
[174]: 3 is thinking
[174]: 3 is sleeping
[174]: 2 is thinking
[174]: 2 is sleeping
[174]: 1 is thinking
[174]: 1 is sleeping
[175]: 5 is thinking
[175]: 5 is sleeping
[175]: 4 is thinking
[175]: 4 is sleeping
[175]: 3 is thinking
[175]: 3 is sleeping
[175]: 2 is thinking
[175]: 2 is sleeping
[176]: 1 is thinking
[176]: 1 is sleeping
[176]: 5 is thinking
[176]: 5 is sleeping
[176]: 4 is thinking
[176]: 4 is sleeping
[176]: 3 is thinking
[176]: 3 is sleeping
[177]: 2 is thinking
[177]: 2 is sleeping
[177]: 1 is thinking
[177]: 1 is sleeping
[177]: 5 is thinking
[177]: 5 is sleeping
[177]: 4 is thinking
[177]: 4 is sleeping
[178]: 3 is thinking
[178]: 3 is sleeping
[178]: 2 is thinking
[178]: 2 is sleeping
[178]: 1 is thinking
[178]: 1 is sleeping
[178]: 5 is thinking
[178]: 5 is sleeping
[179]: 4 is thinking
[179]: 4 is sleeping
[179]: 3 is thinking
[179]: 3 is sleeping
[179]: 2 is thinking
[179]: 2 is sleeping
[179]: 1 is thinking
[179]: 1 is sleeping
[180]: 5 is thinking
[180]: 5 is sleeping
[180]: 4 is thinking
[180]: 4 is sleeping
[180]: 3 is thinking
[180]: 3 is sleeping
[180]: 2 is thinking
[180]: 2 is sleeping
[181]: 2 is thinking
[181]: 2 is sleeping
[181]: 5 is thinking
[181]: 5 is sleeping
[181]: 4 is thinking
[181]: 4 is sleeping
[181]: 3 is thinking
[181]: 3 is sleeping
[182]: 1 is thinking
[182]: 1 is sleeping
[182]: 2 is thinking
[182]: 2 is sleeping
[182]: 5 is thinking
[182]: 5 is sleeping
[182]: 4 is thinking
[183]: 4 is sleeping
[183]: 3 is thinking
[183]: 3 is sleeping
[183]: 1 is thinking
[183]: 1 is sleeping
[183]: 2 is thinking
[183]: 2 is sleeping
[184]: 5 is thinking
[184]: 5 is sleeping
[184]: 4 is thinking
[184]: 4 is sleeping
[184]: 3 is thinking
[184]: 3 is sleeping
[184]: 1 is thinking
[184]: 1 is sleeping
[185]: 2 is thinking
[185]: 2 is sleeping
[185]: 5 is thinking
[185]: 5 is sleeping
[185]: 5 is thinking
[185]: 5 is sleeping
[185]: 3 is thinking
[185]: 3 is sleeping
[186]: 3 is thinking
[186]: 3 is sleeping
[186]: 2 is thinking
[186]: 2 is sleeping
[186]: 4 is thinking
[186]: 4 is sleeping
[186]: 5 is thinking
[186]: 5 is sleeping
[187]: 1 is thinking
[187]: 1 is sleeping
[187]: 3 is thinking
[187]: 3 is sleeping
[187]: 2 is thinking
[187]: 2 is sleeping
[187]: 4 is thinking
[187]: 4 is sleeping
[188]: 5 is thinking
[188]: 5 is sleeping
[188]: 1 is thinking
[188]: 1 is sleeping
[188]: 3 is thinking
[188]: 3 is sleeping
[188]: 2 is thinking
[188]: 2 is sleeping
[189]: 4 is thinking
[189]: 4 is sleeping
[189]: 5 is thinking
[189]: 5 is sleeping
[189]: 1 is thinking
[189]: 1 is sleeping
[190]: 3 is thinking
[190]: 3 is sleeping
[190]: 2 is thinking
[190]: 2 is sleeping
[190]: 4 is thinking
[190]: 4 is sleeping
[190]: 5 is thinking
[190]: 5 is sleeping
[191]: 1 is thinking
[191]: 1 is sleeping
[191]: 3 is thinking
[191]: 3 is sleeping
[191]: 2 is thinking
[191]: 2 is sleeping
[191]: 4 is thinking
[191]: 4 is sleeping
[192]: 5 is thinking
[192]: 5 is sleeping
[192]: 1 is thinking
[192]: 1 is sleeping
[192]: 3 is thinking
[192]: 3 is sleeping
[192]: 2 is thinking
[192]: 2 is sleeping
[193]: 4 is thinking
[193]: 4 is sleeping
[193]: 5 is thinking
[193]: 5 is sleeping
[193]: 1 is thinking
[193]: 1 is sleeping
[193]: 3 is thinking
[193]: 3 is sleeping
[194]: 2 is thinking
[194]: 2 is sleeping
[194]: 4 is thinking
[194]: 4 is sleeping
[194]: 5 is thinking
[194]: 5 is sleeping
[194]: 1 is thinking
[194]: 1 is sleeping
[195]: 3 is thinking
[195]: 3 is sleeping
[195]: 2 is thinking
[195]: 2 is sleeping
[195]: 4 is thinking
[195]: 4 is sleeping
[195]: 5 is thinking
[195]: 5 is sleeping
[196]: 1 is thinking
[196]: 1 is sleeping
[196]: 3 is thinking
[196]: 3 is sleeping
[196]: 2 is thinking
[196]: 2 is sleeping
[196]: 4 is thinking
[196]: 4 is sleeping
[197]: 5 is thinking
[197]: 5 is sleeping
[197]: 1 is thinking
[197]: 1 is sleeping
[197]: 3 is thinking
[197]: 3 is sleeping
[197]: 2 is thinking
[197]: 2 is sleeping
[198]: 4 is thinking
[198]: 4 is sleeping
[198]: 5 is thinking
[198]: 5 is sleeping
[198]: 1 is thinking
[198]: 1 is sleeping
[199]: 3 is thinking
[199]: 3 is sleeping
[199]: 2 is thinking
[199]: 2 is sleeping
[199]: 4 is thinking
[199]: 4 is sleeping
[199]: 5 is thinking
[199]: 5 is sleeping
[200]: 1 is thinking
[200]: 1 is sleeping
[200]: 3 is thinking
[200]: 3 is sleeping
[200]: 2 is thinking
[200]: 2 is sleeping
[200]: 4 is thinking
[200]: 4 is sleeping
[201]: 5 is thinking
[201]: 5 is sleeping
[201]: 1 is thinking
[201]: 1 is sleeping
[201]: 3 is thinking
[201]: 3 is sleeping
[201]: 2 is thinking
[201]: 2 is sleeping
[202]: 4 is thinking
[202]: 4 is sleeping
[202]: 5 is thinking
[202]: 5 is sleeping
[202]: 1 is thinking
[202]: 1 is sleeping
[202]: 3 is thinking
[202]: 3 is sleeping
[203]: 2 is thinking
[203]: 2 is sleeping
[203]: 2 is thinking
[203]: 2 is sleeping
[203]: 5 is thinking
[203]: 5 is sleeping
[203]: 1 is thinking
[203]: 1 is sleeping
[204]: 3 is thinking
[204]: 3 is sleeping
[204]: 4 is thinking
[204]: 4 is sleeping
[204]: 2 is thinking
[204]: 2 is sleeping
[204]: 5 is thinking
[204]: 5 is sleeping
[205]: 1 is thinking
[205]: 1 is sleeping
[205]: 3 is thinking
[205]: 3 is sleeping
[205]: 4 is thinking
[205]: 4 is sleeping
[205]: 2 is thinking
[205]: 2 is sleeping
[206]: 5 is thinking
[206]: 5 is sleeping
[206]: 1 is thinking
[206]: 1 is sleeping
[206]: 3 is thinking
[206]: 3 is sleeping
[206]: 4 is thinking
[206]: 4 is sleeping
[207]: 2 is thinking
[207]: 2 is sleeping
[207]: 5 is thinking
[207]: 5 is sleeping
[207]: 1 is thinking
[207]: 1 is sleeping
[207]: 3 is thinking
[207]: 3 is sleeping
[208]: 4 is thinking
[208]: 4 is sleeping
[208]: 2 is thinking
[208]: 2 is sleeping
[208]: 5 is thinking
[208]: 5 is sleeping
[209]: 1 is thinking
[209]: 1 is sleeping
[209]: 3 is thinking
[209]: 3 is sleeping
[209]: 4 is thinking
[209]: 4 is sleeping
[209]: 2 is thinking
[209]: 2 is sleeping
[210]: 5 is thinking
[210]: 5 is sleeping
[210]: 1 is thinking
[210]: 1 is sleeping
[210]: 3 is thinking
[210]: 3 is sleeping
[210]: 4 is thinking
[210]: 4 is sleeping
[211]: 2 is thinking
[211]: 2 is sleeping
[211]: 5 is thinking
[211]: 5 is sleeping
[211]: 1 is thinking
[211]: 1 is sleeping
[211]: 3 is thinking
[211]: 3 is sleeping
[212]: 4 is thinking
[212]: 4 is sleeping
[212]: 2 is thinking
[212]: 2 is sleeping
[212]: 5 is thinking
[212]: 5 is sleeping
[212]: 1 is thinking
[212]: 1 is sleeping
[213]: 3 is thinking
[213]: 3 is sleeping
[213]: 4 is thinking
[213]: 4 is sleeping
[213]: 2 is thinking
[213]: 2 is sleeping
[213]: 5 is thinking
[213]: 5 is sleeping
[214]: 1 is thinking
[214]: 1 is sleeping
[214]: 3 is thinking
[214]: 3 is sleeping
[214]: 4 is thinking
[214]: 4 is sleeping
[214]: 2 is thinking
[214]: 2 is sleeping
[215]: 5 is thinking
[215]: 5 is sleeping
[215]: 1 is thinking
[215]: 1 is sleeping
[215]: 3 is thinking
[215]: 3 is sleeping
[215]: 4 is thinking
[215]: 4 is sleeping
[216]: 2 is thinking
[216]: 2 is sleeping
[216]: 5 is thinking
[216]: 5 is sleeping
[216]: 1 is thinking
[216]: 1 is sleeping
[216]: 3 is thinking
[216]: 3 is sleeping
[217]: 4 is thinking
[217]: 4 is sleeping
[217]: 2 is thinking
[217]: 2 is sleeping
[217]: 5 is thinking
[217]: 5 is sleeping
[217]: 1 is thinking
[217]: 1 is sleeping
[218]: 3 is thinking
[218]: 3 is sleeping
[218]: 3 is thinking
[218]: 3 is sleeping
[218]: 2 is thinking
[218]: 2 is sleeping
[219]: 5 is thinking
[219]: 5 is sleeping
[219]: 1 is thinking
[219]: 1 is sleeping
[219]: 4 is thinking
[219]: 4 is sleeping
[219]: 3 is thinking
[219]: 3 is sleeping
[220]: 2 is thinking
[220]: 2 is sleeping
[220]: 5 is thinking
[220]: 5 is sleeping
[220]: 1 is thinking
[220]: 1 is sleeping
[220]: 4 is thinking
[220]: 4 is sleeping
[221]: 3 is thinking
[221]: 3 is sleeping
[221]: 2 is thinking
[221]: 2 is sleeping
[221]: 5 is thinking
[221]: 5 is sleeping
[221]: 1 is thinking
[221]: 1 is sleeping
[222]: 4 is thinking
[222]: 4 is sleeping
[222]: 3 is thinking
[222]: 3 is sleeping
[222]: 3 is thinking
[222]: 3 is sleeping
[222]: 5 is thinking
[222]: 5 is sleeping
[223]: 5 is thinking
[223]: 5 is sleeping
[223]: 4 is thinking
[223]: 4 is sleeping
[223]: 2 is thinking
[223]: 2 is sleeping
[224]: 3 is thinking
[224]: 3 is sleeping
[224]: 1 is thinking
[224]: 1 is sleeping
[224]: 5 is thinking
[224]: 5 is sleeping
[224]: 4 is thinking
[224]: 4 is sleeping
[225]: 2 is thinking
[225]: 2 is sleeping
[225]: 3 is thinking
[225]: 3 is sleeping
[225]: 1 is thinking
[225]: 1 is sleeping
[225]: 5 is thinking
[225]: 5 is sleeping
[226]: 4 is thinking
[226]: 4 is sleeping
[226]: 2 is thinking
[226]: 2 is sleeping
[226]: 3 is thinking
[226]: 3 is sleeping
[226]: 1 is thinking
[226]: 1 is sleeping
[227]: 5 is thinking
[227]: 5 is sleeping
[227]: 4 is thinking
[227]: 4 is sleeping
[227]: 2 is thinking
[227]: 2 is sleeping
[227]: 3 is thinking
[227]: 3 is sleeping
[228]: 1 is thinking
[228]: 1 is sleeping
[228]: 5 is thinking
[228]: 5 is sleeping
[228]: 4 is thinking
[228]: 4 is sleeping
[228]: 2 is thinking
[228]: 2 is sleeping
[229]: 3 is thinking
[229]: 3 is sleeping
[229]: 1 is thinking
[229]: 1 is sleeping
[229]: 5 is thinking
[229]: 5 is sleeping
[229]: 4 is thinking
[229]: 4 is sleeping
[230]: 2 is thinking
[230]: 2 is sleeping
[230]: 3 is thinking
[230]: 3 is sleeping
[230]: 1 is thinking
[230]: 1 is sleeping
[230]: 5 is thinking
[230]: 5 is sleeping
[231]: 4 is thinking
[231]: 4 is sleeping
[231]: 2 is thinking
[231]: 2 is sleeping
[231]: 3 is thinking
[231]: 3 is sleeping
[232]: 1 is thinking
[232]: 1 is sleeping
[232]: 5 is thinking
[232]: 5 is sleeping
[232]: 4 is thinking
[232]: 4 is sleeping
[232]: 2 is thinking
[232]: 2 is sleeping
[233]: 3 is thinking
[233]: 3 is sleeping
[233]: 1 is thinking
[233]: 1 is sleeping
[233]: 5 is thinking
[233]: 5 is sleeping
[233]: 4 is thinking
[233]: 4 is sleeping
[234]: 2 is thinking
[234]: 2 is sleeping
[234]: 3 is thinking
[234]: 3 is sleeping
[234]: 1 is thinking
[234]: 1 is sleeping
[234]: 5 is thinking
[234]: 5 is sleeping
[235]: 4 is thinking
[235]: 4 is sleeping
[235]: 2 is thinking
[235]: 2 is sleeping
[235]: 3 is thinking
[235]: 3 is sleeping
[235]: 1 is thinking
[235]: 1 is sleeping
[236]: 5 is thinking
[236]: 5 is sleeping
[236]: 4 is thinking
[236]: 4 is sleeping
[236]: 2 is thinking
[236]: 2 is sleeping
[236]: 3 is thinking
[236]: 3 is sleeping
[237]: 1 is thinking
[237]: 1 is sleeping
[237]: 5 is thinking
[237]: 5 is sleeping
[237]: 4 is thinking
[237]: 4 is sleeping
[237]: 4 is thinking
[237]: 4 is sleeping
[238]: 4 is thinking
[238]: 4 is sleeping
[238]: 4 is thinking
[238]: 4 is sleeping
[238]: 5 is thinking
[238]: 5 is sleeping
[238]: 5 is thinking
[238]: 5 is sleeping
[239]: 3 is thinking
[239]: 3 is sleeping
[239]: 1 is thinking
[239]: 1 is sleeping
[239]: 4 is thinking
[239]: 4 is sleeping
[239]: 2 is thinking
[239]: 2 is sleeping
[240]: 5 is thinking
[240]: 5 is sleeping
[240]: 3 is thinking
[240]: 3 is sleeping
[240]: 1 is thinking
[240]: 1 is sleeping
[240]: 4 is thinking
[240]: 4 is sleeping
[241]: 2 is thinking
[241]: 2 is sleeping
[241]: 5 is thinking
[241]: 5 is sleeping
[241]: 3 is thinking
[241]: 3 is sleeping
[241]: 1 is thinking
[241]: 1 is sleeping
[242]: 4 is thinking
[242]: 4 is sleeping
[242]: 2 is thinking
[242]: 2 is sleeping
[242]: 5 is thinking
[242]: 5 is sleeping
[242]: 3 is thinking
[243]: 3 is sleeping
[243]: 1 is thinking
[243]: 1 is sleeping
[243]: 4 is thinking
[243]: 4 is sleeping
[243]: 2 is thinking
[243]: 2 is sleeping
[244]: 5 is thinking
[244]: 5 is sleeping
[244]: 3 is thinking
[244]: 3 is sleeping
[244]: 1 is thinking
[244]: 1 is sleeping
[244]: 4 is thinking
[244]: 4 is sleeping
[245]: 2 is thinking
[245]: 2 is sleeping
[245]: 5 is thinking
[245]: 5 is sleeping
[245]: 3 is thinking
[245]: 3 is sleeping
[245]: 1 is thinking
[245]: 1 is sleeping
[246]: 4 is thinking
[246]: 4 is sleeping
[246]: 2 is thinking
[246]: 2 is sleeping
[246]: 5 is thinking
[246]: 5 is sleeping
[246]: 3 is thinking
[246]: 3 is sleeping
[247]: 1 is thinking
[247]: 1 is sleeping
[247]: 4 is thinking
[247]: 4 is sleeping
[247]: 2 is thinking
[247]: 2 is sleeping
[247]: 5 is thinking
[247]: 5 is sleeping
[248]: 3 is thinking
[248]: 3 is sleeping
[248]: 1 is thinking
[248]: 1 is sleeping
[248]: 4 is thinking
[248]: 4 is sleeping
[248]: 2 is thinking
[248]: 2 is sleeping
[249]: 5 is thinking
[249]: 5 is sleeping
[249]: 3 is thinking
[249]: 3 is sleeping
[249]: 1 is thinking
[249]: 1 is sleeping
[249]: 4 is thinking
[249]: 4 is sleeping
[250]: 2 is thinking
[250]: 2 is sleeping
[250]: 5 is thinking
[250]: 5 is sleeping
[250]: 3 is thinking
[250]: 3 is sleeping
[250]: 1 is thinking
[250]: 1 is sleeping
[251]: 4 is thinking
[251]: 4 is sleeping
[251]: 2 is thinking
[251]: 2 is sleeping
[251]: 5 is thinking
[251]: 5 is sleeping
[251]: 3 is thinking
[251]: 3 is sleeping
[252]: 1 is thinking
[252]: 1 is sleeping
[252]: 4 is thinking
[252]: 4 is sleeping
[252]: 2 is thinking
[252]: 2 is sleeping
[253]: 5 is thinking
[253]: 5 is sleeping
[253]: 5 is thinking
[253]: 5 is sleeping
[253]: 5 is thinking
[253]: 5 is sleeping
[253]: 4 is thinking
[253]: 4 is sleeping
[254]: 2 is thinking
[254]: 2 is sleeping
[254]: 2 is thinking
[254]: 2 is sleeping
[254]: 2 is thinking
[254]: 2 is sleeping
[254]: 5 is thinking
[254]: 5 is sleeping
[255]: 4 is thinking
[255]: 4 is sleeping
[255]: 3 is thinking
[255]: 3 is sleeping
[255]: 3 is thinking
[255]: 3 is sleeping
[255]: 3 is thinking
[255]: 3 is sleeping
[256]: 5 is thinking
[256]: 5 is sleeping
[256]: 4 is thinking
[256]: 4 is sleeping
[256]: 1 is thinking
[256]: 1 is sleeping
[256]: 2 is thinking
[256]: 2 is sleeping
[257]: 3 is thinking
[257]: 3 is sleeping
[257]: 5 is thinking
[257]: 5 is sleeping
[257]: 4 is thinking
[257]: 4 is sleeping
[257]: 1 is thinking
[257]: 1 is sleeping
[258]: 2 is thinking
[258]: 2 is sleeping
[258]: 3 is thinking
[258]: 3 is sleeping
[258]: 5 is thinking
[258]: 5 is sleeping
[258]: 4 is thinking
[258]: 4 is sleeping
[259]: 1 is thinking
[259]: 1 is sleeping
[259]: 2 is thinking
[259]: 2 is sleeping
[259]: 3 is thinking
[259]: 3 is sleeping
[260]: 5 is thinking
[260]: 5 is sleeping
[260]: 4 is thinking
[260]: 4 is sleeping
[260]: 1 is thinking
[260]: 1 is sleeping
[260]: 2 is thinking
[260]: 2 is sleeping
[261]: 3 is thinking
[261]: 3 is sleeping
[261]: 5 is thinking
[261]: 5 is sleeping
[261]: 4 is thinking
[261]: 4 is sleeping
[261]: 1 is thinking
[261]: 1 is sleeping
[262]: 2 is thinking
[262]: 2 is sleeping
[262]: 3 is thinking
[262]: 3 is sleeping
[262]: 5 is thinking
[262]: 5 is sleeping
[262]: 4 is thinking
[262]: 4 is sleeping
[263]: 1 is thinking
[263]: 1 is sleeping
[263]: 1 is thinking
[263]: 1 is sleeping
[263]: 3 is thinking
[263]: 3 is sleeping
[263]: 5 is thinking
[263]: 5 is sleeping
[264]: 4 is thinking
[264]: 4 is sleeping
[264]: 2 is thinking
[264]: 2 is sleeping
[264]: 1 is thinking
[264]: 1 is sleeping
[264]: 3 is thinking
[264]: 3 is sleeping
[265]: 5 is thinking
[265]: 5 is sleeping
[265]: 4 is thinking
[265]: 4 is sleeping
[265]: 2 is thinking
[265]: 2 is sleeping
[265]: 1 is thinking
[265]: 1 is sleeping
[266]: 3 is thinking
[266]: 3 is sleeping
[266]: 5 is thinking
[266]: 5 is sleeping
[266]: 4 is thinking
[266]: 4 is sleeping
[267]: 2 is thinking
[267]: 2 is sleeping
[267]: 1 is thinking
[267]: 1 is sleeping
[267]: 3 is thinking
[267]: 3 is sleeping
[267]: 5 is thinking
[267]: 5 is sleeping
[268]: 4 is thinking
[268]: 4 is sleeping
[268]: 2 is thinking
[268]: 2 is sleeping
[268]: 1 is thinking
[268]: 1 is sleeping
[268]: 3 is thinking
[268]: 3 is sleeping
[269]: 5 is thinking
[269]: 5 is sleeping
[269]: 4 is thinking
[269]: 4 is sleeping
[269]: 2 is thinking
[269]: 2 is sleeping
[269]: 1 is thinking
[269]: 1 is sleeping
[270]: 3 is thinking
[270]: 3 is sleeping
[270]: 5 is thinking
[270]: 5 is sleeping
[270]: 4 is thinking
[270]: 4 is sleeping
[270]: 2 is thinking
[270]: 2 is sleeping
[271]: 1 is thinking
[271]: 1 is sleeping
[271]: 3 is thinking
[271]: 3 is sleeping
[271]: 5 is thinking
[271]: 5 is sleeping
[271]: 4 is thinking
[271]: 4 is sleeping
[272]: 2 is thinking
[272]: 2 is sleeping
[272]: 1 is thinking
[272]: 1 is sleeping
[272]: 3 is thinking
[272]: 3 is sleeping
[272]: 5 is thinking
[272]: 5 is sleeping
[273]: 4 is thinking
[273]: 4 is sleeping
[273]: 2 is thinking
[273]: 2 is sleeping
[273]: 1 is thinking
[273]: 1 is sleeping
[273]: 1 is thinking
[273]: 1 is sleeping
[274]: 5 is thinking
[274]: 5 is sleeping
[274]: 4 is thinking
[274]: 4 is sleeping
[274]: 2 is thinking
[274]: 2 is sleeping
[275]: 3 is thinking
[275]: 3 is sleeping
[275]: 1 is thinking
[275]: 1 is sleeping
[275]: 5 is thinking
[275]: 5 is sleeping
[275]: 4 is thinking
[275]: 4 is sleeping
[276]: 2 is thinking
[276]: 2 is sleeping
[276]: 3 is thinking
[276]: 3 is sleeping
[276]: 1 is thinking
[276]: 1 is sleeping
[276]: 5 is thinking
[276]: 5 is sleeping
[277]: 4 is thinking
[277]: 4 is sleeping
[277]: 2 is thinking
[277]: 2 is sleeping
[277]: 3 is thinking
[277]: 3 is sleeping
[277]: 1 is thinking
[277]: 1 is sleeping
[278]: 5 is thinking
[278]: 5 is sleeping
[278]: 4 is thinking
[278]: 4 is sleeping
[278]: 2 is thinking
[278]: 2 is sleeping
[278]: 3 is thinking
[278]: 3 is sleeping
[279]: 1 is thinking
[279]: 1 is sleeping
[279]: 5 is thinking
[279]: 5 is sleeping
[279]: 4 is thinking
[279]: 4 is sleeping
[279]: 2 is thinking
[279]: 2 is sleeping
[280]: 3 is thinking
[280]: 3 is sleeping
[280]: 1 is thinking
[280]: 1 is sleeping
[280]: 5 is thinking
[280]: 5 is sleeping
[280]: 4 is thinking
[280]: 4 is sleeping
[281]: 2 is thinking
[281]: 2 is sleeping
[281]: 3 is thinking
[281]: 3 is sleeping
[281]: 1 is thinking
[281]: 1 is sleeping
[281]: 5 is thinking
[281]: 5 is sleeping
[282]: 4 is thinking
[282]: 4 is sleeping
[282]: 2 is thinking
[282]: 2 is sleeping
[282]: 3 is thinking
[282]: 3 is sleeping
[282]: 1 is thinking
[282]: 1 is sleeping
[283]: 5 is thinking
[283]: 5 is sleeping
[283]: 4 is thinking
[283]: 4 is sleeping
[283]: 2 is thinking
[283]: 2 is sleeping
[284]: 3 is thinking
[284]: 3 is sleeping
[284]: 1 is thinking
[284]: 1 is sleeping
[284]: 5 is thinking
[284]: 5 is sleeping
[284]: 4 is thinking
[284]: 4 is sleeping
[285]: 2 is thinking
[285]: 2 is sleeping
[285]: 3 is thinking
[285]: 3 is sleeping
[285]: 1 is thinking
[285]: 1 is sleeping
[285]: 5 is thinking
[285]: 5 is sleeping
[286]: 4 is thinking
[286]: 4 is sleeping
[286]: 2 is thinking
[286]: 2 is sleeping
[286]: 3 is thinking
[286]: 3 is sleeping
[286]: 1 is thinking
[286]: 1 is sleeping
[287]: 5 is thinking
[287]: 5 is sleeping
[287]: 4 is thinking
[287]: 4 is sleeping
[287]: 2 is thinking
[287]: 2 is sleeping
